"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"GP","F",18,"U","GT3","A",4,4,"at_home","teacher","course","mother",24.9717419617809,3.54887309623882,0,"yes","no","no","no","yes","yes","no","no",4,3,4,1,1,3,4,0,11,11
"GP","F",17,"U","GT3","T",1,1,"at_home","other","course","father",11.7457596119493,2.59509017295204,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,2,9,11,11
"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",9.16025788290426,4.58033479866572,0,"yes","no","no","no","yes","yes","yes","no",4,3,2,2,3,3,6,12,13,12
"GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",2.35537748923525,7.34445601236075,0,"no","yes","no","yes","yes","yes","yes","yes",3,2,2,1,1,5,0,14,14,14
"GP","F",16,"U","GT3","T",3,3,"other","other","home","father",11.58703242708,3.69830739684403,0,"no","yes","no","no","yes","yes","no","no",4,3,2,1,2,5,0,11,13,13
"GP","M",16,"U","LE3","T",4,3,"services","other","reputation","mother",6.25559880072251,2.18167665530927,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,2,5,6,12,12,13
"GP","M",16,"U","LE3","T",2,2,"other","other","home","mother",5.88152099167928,4.82206536503509,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,0,13,12,13
"GP","F",17,"U","GT3","A",4,4,"other","teacher","home","mother",17.8406166366767,2.25111611164175,0,"yes","yes","no","no","yes","yes","no","no",4,1,4,1,1,1,2,10,13,13
"GP","M",15,"U","LE3","A",3,2,"services","other","home","mother",13.1558935847133,4.384960784344,0,"no","yes","no","no","yes","yes","yes","no",4,2,2,1,1,1,0,15,16,17
"GP","M",15,"U","GT3","T",3,4,"other","other","home","mother",2.94149063527584,4.59876506077126,0,"no","yes","no","yes","yes","yes","yes","no",5,5,1,1,1,5,0,12,12,13
"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",2.28413576772436,3.01939164171927,0,"no","yes","no","no","yes","yes","yes","no",3,3,3,1,2,2,2,14,14,14
"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",52.3867923952639,9.65482100495137,0,"no","yes","no","yes","yes","yes","yes","no",5,2,2,1,1,4,0,10,12,13
"GP","M",15,"U","LE3","T",4,4,"health","services","course","father",14.2762382850051,1.87933627911843,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,3,5,0,12,13,12
"GP","M",15,"U","GT3","T",4,3,"teacher","other","course","mother",24.5313315710519,4.7062853758689,0,"no","yes","no","no","yes","yes","yes","no",5,4,3,1,2,3,0,12,12,13
"GP","M",15,"U","GT3","A",2,2,"other","other","home","other",4.43187848012894,6.38459757086821,0,"no","yes","no","no","yes","yes","yes","yes",4,5,2,1,1,3,0,14,14,15
"GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",4.64875645237043,1.02819985034876,0,"no","yes","no","no","yes","yes","yes","no",4,4,4,1,2,2,6,17,17,17
"GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1.94894342590123,6.07227569329552,0,"no","yes","no","yes","yes","yes","yes","no",3,2,3,1,2,2,10,13,13,14
"GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",59.6334870590363,4.18556242901832,0,"yes","yes","no","yes","yes","yes","no","no",5,3,2,1,1,4,2,13,14,14
"GP","M",17,"U","GT3","T",3,2,"services","services","course","mother",5.63284178869799,1.61136922077276,3,"no","yes","yes","yes","yes","yes","yes","no",5,5,5,2,4,5,2,8,8,7
"GP","M",16,"U","LE3","T",4,3,"health","other","home","father",12.4855825817212,1.79904507240281,0,"no","no","no","yes","yes","yes","yes","no",3,1,3,1,3,5,6,12,12,12
"GP","M",15,"U","GT3","T",4,3,"teacher","other","reputation","mother",8.56060156179592,2.30568310245872,0,"no","no","no","no","yes","yes","yes","no",4,4,1,1,1,1,0,12,13,14
"GP","M",15,"U","GT3","T",4,4,"health","health","other","father",6.74945644661784,1.10914983926341,0,"no","yes","yes","no","yes","yes","yes","no",5,4,2,1,1,5,0,11,12,12
"GP","M",16,"U","LE3","T",4,2,"teacher","other","course","mother",9.41893520578742,2.11286320909858,0,"no","no","no","yes","yes","yes","yes","no",4,5,1,1,3,5,0,12,13,14
"GP","M",16,"U","LE3","T",2,2,"other","other","reputation","mother",20.7655841996893,3.4273678411264,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,2,4,5,2,10,10,10
"GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",5.90391518408433,5.99057484883815,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,5,2,10,11,10
"GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",12.4872030573897,1.22197375982068,0,"no","yes","no","no","no","yes","yes","no",1,2,2,1,3,5,6,10,11,12
"GP","M",15,"U","GT3","T",2,2,"other","other","home","mother",13.7388609019108,1.51806643232703,0,"no","yes","no","no","yes","yes","yes","no",4,2,2,1,2,5,8,11,12,12
"GP","M",15,"U","GT3","T",4,2,"health","services","other","mother",5.05926091549918,1.66371452482417,0,"no","no","no","no","yes","yes","yes","no",2,2,4,2,4,1,0,11,11,11
"GP","M",16,"U","LE3","A",3,4,"services","other","home","mother",6.25350395450369,3.35622736765072,0,"yes","yes","yes","yes","yes","yes","yes","no",5,3,3,1,1,5,2,12,12,13
"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","home","mother",14.5287631265819,2.64126309915446,0,"no","yes","yes","yes","yes","yes","yes","yes",4,4,5,5,5,5,4,12,11,12
"GP","M",15,"U","GT3","T",4,4,"health","services","home","mother",3.21769589930773,4.2364882400725,0,"no","yes","yes","no","no","yes","yes","no",5,4,2,3,4,5,0,10,11,11
"GP","M",15,"U","GT3","T",4,4,"services","services","reputation","mother",17.4383536702953,4.03495880053379,0,"no","yes","no","yes","yes","yes","yes","no",4,3,1,1,1,5,2,15,15,15
"GP","M",15,"R","GT3","T",4,3,"teacher","at_home","course","mother",5.29453444108367,3.75285037280992,0,"no","yes","no","yes","yes","yes","yes","yes",4,5,2,1,1,5,0,13,14,15
"GP","M",15,"U","LE3","T",3,3,"other","other","course","mother",10.4416584470309,4.46016985317692,0,"no","no","no","yes","no","yes","yes","no",5,3,2,1,1,2,0,13,12,12
"GP","M",16,"U","GT3","T",3,2,"other","other","home","mother",12.0677064904012,1.84878250956535,0,"no","yes","no","no","no","yes","yes","no",5,4,3,1,1,5,4,12,12,12
"GP","F",15,"U","GT3","T",2,3,"other","other","other","father",26.2227049644571,1.25328952865675,0,"no","yes","no","yes","yes","yes","no","no",3,5,1,1,1,5,4,11,11,11
"GP","M",15,"U","LE3","T",4,3,"teacher","services","home","mother",10.7550647649914,9.81573225348257,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,1,4,0,14,14,14
"GP","M",16,"R","GT3","A",4,4,"other","teacher","reputation","mother",17.0364536438137,9.47277306579053,0,"no","yes","no","yes","yes","yes","yes","yes",2,4,3,1,1,5,4,13,13,13
"GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",6.081363751553,6.54759208322503,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,5,2,11,12,12
"GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",13.9569333456457,1.51363575342111,0,"yes","yes","no","yes","yes","yes","no","no",4,3,1,1,1,2,8,14,13,12
"GP","F",16,"U","LE3","T",2,2,"other","other","home","mother",21.917968589114,4.35393708082847,0,"no","yes","no","yes","no","yes","yes","yes",3,3,3,1,2,3,16,11,11,10
"GP","M",15,"U","LE3","T",4,4,"teacher","other","home","other",11.7271482157521,1.63292946014553,0,"no","yes","no","no","no","yes","yes","yes",5,4,3,2,4,5,8,10,11,11
"GP","M",15,"U","GT3","T",4,4,"services","teacher","course","father",14.4518206692301,2.11710134521127,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,1,1,5,0,14,15,15
"GP","M",15,"U","GT3","T",2,2,"services","services","course","father",12.9694582559168,1.38515484216623,0,"yes","yes","no","no","yes","yes","yes","no",5,4,1,1,1,1,0,9,10,10
"GP","F",16,"U","LE3","T",2,2,"other","at_home","course","father",26.2294150551315,2.53516546892934,1,"yes","no","no","yes","yes","yes","yes","no",4,3,3,2,2,5,14,10,11,11
